,poem name,content,type
30,Come Back,"I hate how I can’t keep this tremor inside, this mute
matter of being made extant, this shiver in being, in
no not-being, this wild flying up from the inner surge

and this crack in the apparatus espied around
the corner from my particular warble, this
quiver of dissolution in the pool of no single thing,

this break in the entity of the single, of not
a mistake in being made, this suffering of trying
to contain the infinite in language, this refusal

inextricable from its mass; this love, love of
love, this being only in your presence, this inability
not to err, rather the constitution of my broken image

caressed by this, this permission to submerge, this bigger
and bigger being, tremor of infinite allowances, this telos
of cataloging that which can never be disappeared.",Art and Science
31,Cell,"The blood of language moves through the word cell from monk’s cell to prison cell to biological cell. I don’t know why a Braille cell is called a cell. I don’t know how many blood cells Louis Braille lost when the awl he was playing with as a small child slipped and injured his eye.

Red blood cells live some hundred days before they are worn out by their silent hustle—looping and looping, pounded through the heart’s chambered cathedral, rushing out to the farthest reaches of the body with the good news of oxygen, squeezing single file along capillaries, like anxious deer probing their tracks through the woods. Rushing, silent, looping the circuits of the body. Again, again, again. Load iron. Dump iron. Load dump squeeze hustle.

Red blood cells pushed through the capillaries that pushed through my retinas. They broke loose to run a green swarm in the corral of my eye. But that is history. Today cells still push through the capillaries fenced off by my calloused fingerprint. This one that I run over the Braille cell, the pattern of bumps.

—

A red blood cell is measured in microns. A solitary prison cell is measured in feet. Six feet by nine feet or less. I don’t know what the unit of measure is for how living in solitary changes a person. We know that living in a confined space, without access to the long view or landscape, changes the eye. The eye, for lack of practice, loses its ability to make out what lies in the distance. I don’t have a unit of measure for what this does to the heart.

—

A Braille cell is measured in spaces in a grid—two across by three down—that can be filled with a raised dot or bump. Different combinations of dots represent different letters, punctuation, symbols, shorthand.

—

The oldest cell I find in the dictionary is the monastic cell, a place for contemplation. From the concealed place where wine was stored. As in cellar. I find Braille contemplative. I touch my index finger to a bumpy piece of paper. My hand advances slowly left to right, the touch receptors in my finger triggered by the uneven contact of paper and skin. Messages run along nerves, finger-to-brain, brain-to-finger. Cognition sizzles. Mind notices this feels different than the pathway of sound in ear to auditory processing. Listening pulls me out into the world in an infinity of directions. Touching my reading educates me on my exact location in the world, feet in shoes, weight of foot on ground, weight of bones and flesh in chair.",Art and Science
32,The Binchōtan Charcoal & Its Ash,"There is no delusion that she wants her.
Is marriage like owning a very expensive art piece?

Your spouse the painting?
You the crooked frame that won’t fit?

Is this how desire is born?
From having less or from wanting more?

She wakes up calling her name.
She wakes up knowing that she doesn’t want less.

From House of Cards she learned a new rule: “I love that
woman. I love her more than sharks love blood.”

Or something along that line. She may have misquoted.
It came out of the pre-disgraced Kevin Spacey’s mouth.

Her God doesn’t exercise telepathy or residence.
Hands, eyes, mouths, authenticity.
It’s a city without mirrors.
Because touch, in itself, is symmetry.

—


She held the woman’s face in her mind’s eye &
realized that they would never be lovers &
as soon as she let her go, mosses grew all over
the geography of her hands and the woman’s face.

Is this because it’s a debt that must be paid for
not believing in somebody?
In herself?

She felt the desire of desire as if it was a binchōtan
charcoal and its ash.

Masakichi Yakitori
and the Pyramid Club.

—


On Easter Sunday, she sang a Christmas carol of Lao Tzu.
Lao Tzu, where is your power to persuade a tree from falling
asleep on itself?

Does night dream of actresses sleeping on leaves?
Where is the human figure in this?

Your Saturday is a memory without a body.
A pair of lungs that knew too much about your mother’s rape
tells you to leave reality through a threshold of a dream.

You knew how to be authentic. How to get rid of people.
How desertion works in the wilderness.
You exclude sound from your thesis.
It’s a way for you to desert poetry without being too poetic.

—


There were thistles inside of your mother’s vaginal canal.
She wasn’t violated in the wilderness. He has dragged her there to
say that it was okay to want pins and needles. She wasn’t numbed
after all. Her body didn’t pretend to be a God. Just a whimpered
Lao Tzu.

In a remote mountain, the men are smoking pipes and their vapors
smell like evergreen.

To punctuate their desire she says: God is being difficult. But he is
not.

I have to tell the world that I am sad and have been forgotten. Is
there a way home from not being homeless? Is there a way to swim
in an Indian reservation without being caught?

Listen: the isotope was just a trope.
There are ways to move smoothly in and out of insincerity.

We grow to learn how to brush melted butter
onto doughs shaped like the cavalry.
They arrive galloping on the baking
sheets without yeast in their armors.

—


Every Tuesday we acquire clues from the shape
of your mother’s scream.
When it was hoarse, it had the shape of a small bonsai tree.

Your cat licks you and licks you.

You know it’s not 300 bc.
Desire comes and goes while leaving lies to clothe themselves.

Her anger is a troublesome candidate of sadness—
lights itself on fire.
From time to time, the cunt of that fire grows ember by ember.

Once in a while, a house made of screams floats down a black river
on the planet Pluto.
Its chimney is not designed to ventilate silence or resilience.
It’s designed to allow screams to escape without suffocating
everyone inside it.

Once in a while the rain arrives to suppress the anger of the
scream.

When anger soaks like wet grasses on the house’s floorboard, the
ants come out to showcase their military might.

They resurrected the screams from their wet ash and carry them
on their powerful backs.
The aftermath of a rape is portable and transmutable.
A possible somatic experience for the ants, but may not be for the
human or the inhuman.",Art and Science
33,Awl,"A tool for piercing holes. Particularly in leather. A simple metal shaft. A knob of wood for handle, polished by its fit in the sinewy cradle of a leather-worker’s palm. Likely the tool with which Louis Braille blinded himself as a child in France. An accident in his father’s saddle-making shop in the early years of the nineteenth century. Braille later invented a system of raised dots as a means of reading and writing for the blind. We don’t know much. Whether he was in the shop with his father or snuck in alone. Whether it was damp and rainy or whether the sun shone and brought to life the floating dust that always hung in the workshop air. Maybe it was just a little poke in the eye. A small tool, a small slip of the hand, a small injury. How a little fumble ends in blindness. It was decades before general anesthetic or antiseptics. Perhaps the doctor they rushed him to believed in the value of “laudable pus” in a wound. I don’t want to picture it. As a child, playing in his father’s saddle-making shop, did Louis Braille already know the names of the parts of a saddle—cantle, pommel, stirrup, tree? Did he know the smell and feel of each grade of leather? Of all the tools—punch and pincers, gouge and groover, chisel and awl—he chose awl. Likely the last thing he saw, a shine of metal galloping toward his eye. Is it accident that my tool for pressing hand-punched Braille is so much like a blunt, very small awl?",Art and Science
34,At the End of the Day,"end- and be-any, make ends hour, at the end on my haze, elf’s well
that ends well, at a fair end, an end as itself, any good must come to
an end, tie is loose ends, end on the line, defanging on the end, end
as sight, coming to a man end, end as took, hour a terrible end, to
end on the ticks, team end, on the semiotics end, light at the end of
the tunnel, choking both ends, does the end justify the bound,
short end on the brand, know which end is is, now-end, toss-end,
you haven’t heard the end on it, follow me to the ends.",Art and Science
35,"Asylum,","like when I can’t sleep I say to myself
the the the the
the

the
the—
each article drenched to the bone in the

belief it attends something solid,
fond belief, always being
cut in on—the

the
the
the the the the the the

does the trick if I can stick with it
not get swept into narrative, that shock brigade
all tell, if by shock they mean hit

the the the the the the the the
papers say asylum is temporary
now, true, what’s not that’s able to

maintain its potency, you wake up
from a spell in that genre of safety, relative
safety, what saved you

making as if the story were widely shared
until you saw them as-if otherwise and then
what saved you was seeing their look, saying

resemblance too may be at any time revoked so
must be made the most
of,

seeing it then, seizing
the minute dismounting with the foot
trained as a dancer to keep you traveling because

they’d slept and, refreshed, moved the the the the
papers expired, it’s their turn now
to really live",Art and Science
36,The Wound,"1

The leaves sleeping beneath the wind:
A vessel for the wound.
Time perishing: the glory of the wound.
The trees rising among our lashes:
A lake for the wound.

The wound lies in bridges
When the grave lengthens,
When patience stretches
Between the banks of our love and death.
The wound, a gesture, is passing.

2

I give the voice of the wound
To the tongue of strangled bells,
To stone approaching from afar,
To aridity and the arid land,
To time borne on a stretcher of ice,
I kindle the fire of the wound.

When history burns in my garments,
When blue nails sprout in my book,
When I shout during the day,
Who are you? Who’s thrusting you
Into my notebooks,
Into my virgin earth?
In my notebooks, in my virgin earth,
I glimpse two eyes of dust
And hear someone say,
“I am the wound that grows
In your narrow history.”

3

I named you cloud,
Wound, dove of departure,
I named you quill and book.
And here I am, starting a dialogue
Between myself and the drowned tongue
On the isles of exodus,
On the archipelago of the ancient fall.
And here I am, teaching the dialogue
To the wind and palms—
Wound, dove of departure.

4

Had I a harbor, had I a vessel
In the land of dreams and mirrors,
Had I the remains
Of a city, had I a city
In the land of children and weeping,

I would forge them all for the wound
Into a spear-like song
That pierces trees and stones and sky,
A song as supple as water,
Unruly and dazed, like conquest.

5

World adorned with dreams and yearning,
Rain down on our deserts,
Rain down, but shake us, palms of the wound,
And break two branches off for us
From the trees that love the silence of the wound,
From the trees with arched lashes and hands
That keep vigil over the wound.

World adorned with dreams and yearning,
World falling in my brow,
Drawn like the wound,
Come no closer—the wound is closer than you.
Don’t tempt me—the wound is more beautiful,
And the wound has passed by that enchantment
Cast by your eyes
In the last kingdoms,
Passed without leaving a sail to tempt it astray,
Without leaving it an island.
 
Translated from the Arabic",Art and Science
37,Woodcut,"The trouble with Jane Eyre
isn’t what I thought when I slammed shut the book
on those pictures trying to fly out at me
because I misunderstood, being too young

to read. When you’re unable to read a book
you can’t understand the illustrations either.
Those were my mother’s books, a green bound set
of that one and the book by her sister, Emily.

When you can’t understand the artwork
the face at the window is a monster.
It is only Cathy, though, in the book by Brontë’s sister,
calling for her lover. And the awful figure bending

over Jane’s bed with the candle, that monstrous
creature—well, there are flaws in the mind of Jane, too,
and the awful figure bending over her
might be the tormented wife of Rochester.

There’s a flaw in Jane’s mind, too,
looking down on the young French child
born to another tormented mother
whom Rochester says has inherited sin.

The young French child likes presents too much,
likes to dance and sing—and so what? She is love-starved,
this child who has supposedly inherited sin,
who will never get the approval of Mr. Rochester.

We lose track of the pretty child who likes to sing.
Jane goes away for a while to prove her purity.
Then, when the other wife dies, Mr. Rochester
will approve. Reader, I married him, she says,

after she has gone away for a while. He is blind
from the fire the crazy wife set. And then, miraculously,
her love asks if she is wearing a blue dress.
I believe she is pregnant, then, carrying a child

who will be a good child, miraculously.
Charlotte Brontë knew only part of the happy ending.
Perhaps he gets better and sees the blue dress.
We have to believe things turn out well,

while Charlotte, herself, had nine months of pleasure
and died. And so the book, which ends as if resolved,
asks us to believe things turn out well, the French girl gone,
Rochester and Jane and the baby in the burned-out

mansion, because books then ended resolutely
and did not reflect how it is to have a calm life,
Rochester and Jane and the baby in the burned-out
mansion, illustrated by the art of the woodcut,

which does not suggest such a calm life,
but a knife and fire making art out of wood,
in a mansion that itself has been sculpted by
fire and breaking things, which is how we really live.",Art and Science
38,Why I Never Applied Myself to Pool,"Not that I lacked an eye entirely,
But give me an oblique enough kiss
To visualize, and my eye said “See ya later.”
A little practice might have sharpened it,
But what was needed here was not as much
A sharper as a higher order eye,
A whole other orb altogether.",Art and Science
39,Quincing the Poet,"What can you see elsewhere that you cannot see here? ... Had you never gone out and listened to idle talk, you would the better have remained perfectly at peace.
—Thomas à Kempis, The Imitation of Christ
The Queen of Sheba packed fenugreek,
turmeric, milled cardamom, desiccated
coconut, sweet almond oil, figs, fat
amber dates, green lemons, and mint,
onto a dozen knobbly camels. Let’s see,
Poetaster, how your sinuses like these!
Her eyes lit up like a clutch
of desert sunrises. Hessian, leather,
cedarwood slats, shavings of gold leaf,
Tyrian silk, muslin, bronze buckles,
tamarind, juniper, quinces and kumquats
in barrels. There, Poet-guy! She herself strapped
the last bulging bundle to the caravan’s
last beast. They set off on the sixth day
of the sixth month, a long haul. They lost
a hound, had to let go five bolts of silk,
for water; her men got fighting with silver-knived
brigands with brassy tongues; her women split
into those who desired celebrity with the P-g,
who made her laugh, and those who wished her
well, this time, which made her maudlin. A baby
needled for food and a warm cot. Eventually
they arrived at Poetman’s place—his birthplace,
the guide clarified—a simple lodge overshadowed
by leaning olives. A bench out back
and buckets for livestock. Someone
lives here, still? She felt rigid, rich
with anticipating. They pressed in:
porticoes in parallel lines, orange poppies
in deep beds; acres, east and west, of orchids.
Her heart went skip-a-hop; her stomach
sick, to its pit.",Art and Science
40,Sonnet,"you have lipstick on your collar I say
to my father the priest that’s just the Blood
of   Christ my son he replies by and by
(the milky thigh of   Mary in my mind)
William Blake’s eyes aligning in the snow
a statue outside London simply called
“The Heretic” where birds sit and shit and
live out their days in unconscious praise
of that third space between language and the
mute object as sunlight pours through
the stained glass at the Lincoln Park Zoo
where I saw the lions pacing and you
told me to always remember that the cage
is for the protection of   the captor",Art and Science
41,Judo,"I.e., the kind of   verse
That doesn’t try to force
People to their knees
(Seeing as it sees
To people’s being thrown
By forces of   their own).",Art and Science
42,Mistakes,"1

The subject will claim
that she has been taken
to the wrong place.

That the room
she is brought back to
is not the room she left.

That these comings and goings
are happening
to someone else,

are gathering momentum
controlled by a secret
mechanism.

That she needs to tell
someone.

               2

I walk out the door
to the stone bench

without meaning to
(without meaning it?),

each step
jarring my frame

as it would anyone’s",Art and Science
43,Lines for People After the Party,"And whenever they couldn’t speak they looked at each other.
How long should I look at the world before I go home?
It’s a moody life like Debussy on a weekend
and all the appointments and money and drinks they do go.
So with our beautiful coats we went back to that mess
and what happened? Someone found what they wanted
by night, by mistake. In the car it felt like summer
and we lived with no sun    . . .    just metals and leather.
A lot of   Mondays. A lot of you in the grass I go to and touch.
Oh and Los Angeles for its slow light. Rome for when it gets late.
You. Not you, but you who are reading   . . .
what won’t you ask for and want?
Of course I remember it differently because I was broke
and it feels like I’m broke still.
The cabs lined up but no one took him
where he wanted to go. Those months shared a face
and the face of a dog on a street was the only thing
that really saw you (for a long time).
Then I heard you were traveling, I heard you were somewhere,
I heard you were nowhere anyone looked for at all.
French stationery. Construction. Sent then deleted. Missed you
so sorry next time press yes to continue press now.
And I stood on Barrow then Greenwich then Allen
then all streets, every street, all the time, everyone.
There was a check you used just to drive out there.
There was a storm that brought a gold door in front of their shoes.
You know, it doesn’t get easier with the lights on.
It doesn’t get easier to watch the play with an end.
On the way out someone said, what a terrible way to portray life.
But about us. Hide all week then some place
we go empty the dark in. In the dark
with our vices and best shirts and history’s dress.
Then you could find me anytime. And then there’s right now.
Where wouldn’t we go to be no one and those people again?",Art and Science
44,Like a Cloud above a Ravine,"Like a cloud above a ravine is the hell you already know:
That sublime work of the imagination by Dante Alighieri.

But the rain that falls from that cloud is not made up of human souls.
It rains, and the rain funnels down into the something-other-than-human sewer.

Look how a Chinese writing brush ends in a cone of rigid horsehair.
Loaded with ink, the cone will flex, will leave a wet trench in the rice paper.

It will leave an attractive trench, and the daylight sucked into the ink
Will give it a reflective “shine dot” — like looking into an animal’s eye.

Which of you has looked into the looking-up eyes of a hair-trigger fox?
A backyard fox or a campsite coyote: Daoist, unintelligible, brave  . . .

Which of you knows how not to part the pebble on the beach from its colors?
The songbird from its social network? the fruit from its multifaceted peel?

Oh, that sugary piece of phosphorus in its form-fitted velvet casing!
That unappreciated Egyptian sarcophagus meant | to be opened from the inside.

And each seed-bearing fruit has an atmosphere. Each has its several moons,
Has tides (subject to gravity), changing weather, lunar eclipses . . .

But should an arrow suddenly snatch the waiting pomegranate out of your hand,
If it snatches the cap off your head, recall: its circuit has only begun . . .

For the arrow of the luckless archer returns to the middle of his or her back.
There, between athletic shoulder blades, is a diploma tube full of arrows.

Is a diploma tube full of arrows, and so | it is time for graduation.
The genie’s gone back to his bottle; the devils to their fallow hells.

And the Chinese writing brush, and the cloud above the ravine (wherein
The charged particles have sorted themselves along their up-and-down axis),

And the looking-up eyes of the fox, and the sarcophagus, and the campsite
Are irreducible to a system, are each of them floating over a void.

Truly: “All hells and hierarchies are works of the imagination.” And equally:
“It is not the part of the Daoist sage to conjure meaningless hells.”",Art and Science
45,From “The Obscure Lives of Poets”,"How is it that you live, and what is it you do?
— William Wordsworth, to the leech-gatherer
Three, no, four, that I know, married women
of means and brains. One grew moss on her tongue, waking from dreams that smelled
of mildew or hoary socks on a smothering train.
One turned to falconry and the construction of seed bombs to be dropped from three-
story houses. One burned her burka upon being released
from prison for the fourth time shamed so down deep in her molested self, washed
henceforth in formal darkness, another burned
her wedding dress in a fire pot while house finches splashed in the birdbath. [how one
moment touches on another moment and a thought flickers on and off ]
One poet, obsessed with vulvae, son of a butcher,
displayed a large bezoar on his coffee table, and slept in the bear nests in the d’Ardèche,
obsessed. One poet, adopted shortly after birth
by a levee builder on the St. Francis, shot himself with a target pistol on a beautiful
afternoon in early June. One lay across the tracks
on the brink of the Tiananmen uprising. One picked up her manuscript, a block of ash,
from the embers of her Oakland home. Bakhtin, as we know,
smoked his very best pages in prison. The poems of Radnóti were found by his widow in
his overcoat, in a mass grave. One scribbled until his last
conscious breath in an apartment in Waltham, brimmed over with hellish fury and
dysfunctional passion. One was imprisoned on a ship
in Valparaiso during the military coup, but lived with his “iron bad health” to carve a
poem 3.5 kilometers long in the Atacama Desert,
and another in the skies over Brooklyn; to cover thousands of pages with anguish and
light. One is fascinated with lichens and other symbionts.
One with fungi and other entheogens. [how the divine is elusive and pelf is conspicuous]
One spent the better part of this life
writing in the dirt with a stick, crossing out with his foot, that his entire tribe could decipher
the mystery inscribed. [Another surrendered
his youth and gladness with lines of despondency and madness.] One broke faith with the word
before the word could break faith with her, and built
a mountain of detergent in her garage. One made a record of night-flying birds on a scroll
longer than the roll of post-Katrina homicides
in Orleans Parish. One does not like white flowers and has never
shown her poems to a single solitary living soul. Another built a pair of metal wings to be
worn once and then pressed between the covers
of a golden book. One joined the Int’l Concatenated Order of the Hoo-Hoo but
absconded for Europe where he lives large
as an unaffiliated psychedelic narcissist. Some just want the big life. Others suffer
into the night at the thought of what
they should have said, un autre esprit d’escalier. One was able to buy his first car
after a settlement from being bit by a pit bull.
One resolved to trim her hair once she began to sit upon it.
One walked alone from Savannah to Santa Monica. The perfect time to read
the Bible and Gravity’s Rainbow. One posed under a tortuosa beech at Arnold
Arboretum when her picture was taken; wrote
longhand crossing the Gulf, got a job statuing in New Orleans. One of the venerated
continues to write though his sight has abandoned
him and his garden is returning to wilderness. One snores and never locks her doors.
One has lamellar ichthyosis and did not shed her collodion
membrane. Rare relief springs from poetry and lying flat, cloud-searching on the grass.
[how a glass ear is fashioned from words]
One poet goes silent as fishes; one stands in a lightning field and slowly begins to move.
[as a fugue composed in an open boat]
One writes again every thousand+ days and plants all things magenta, so named
for the Italian town of that name.
One, as a lock against beggary and death, writes only elegies; was advised by a mild elder:
It is all right to be depressed just as long
as you don’t let it get you down. [how wisteria can bring down a house/likewise cat’s claw]
One dreamed of leaving her colicky son
under the bleachers. One survived multiple tumors in his brain decades after a year-long
tour in Vietnam. Another walked off
the uranium fields, survived melanoma and many more unkind cuts, torn awake.
How here: [The story has a skip in it. Listen, Señor, I have been used
by my own ignorance, self-disgust, my instinct for failure. Pray for me.]
Seen in this light (this damnable dingy light),
Brothers and Sisters, Señors y Señoras, I tell you how it is that we live, and what it is that
we do, we get ourselves up, off our much abused sofas,
Hermanos, Hermanas, to the old intolerable sound of hollow spoons in hollow bowls,
to insure that our love has not left the world or else",Art and Science
46,Deepwater,"I have my father’s hair. Not much of a gift,
chick, but can’t say I’m not generous.
     Thick cloud blasting out of my head,
          fat as baleen. The word, his tongue slugs
against the roof of his mouth, is adsorbant,
    and he insists on the prefix in a coda of clicks:
          ad-     ad-     ad’yer see? like a whale, spearing
its noise into the dark. Grows like bone,
    does hair, strengthens against stress, all our
          violences legible in horn, hoof, feather,
the warm ocher of his thumbnail as he turns
    the beak over. I am naked, watching the plug
          braid a borehole, my fragrant grief: tobacco, lanolin,
bacon spit, grease. And he is starting to plait my wet hair,
    passing forward fresh streams to dark slick
          over my shoulders and asking me to guess the weight
of disaster. Absently, I count a kink from flu, a thickening
    for love, golden crown and here, at the root, a length of gray.
          You tell by the color of the waves, he shrugs, walks
to his bookshelf on the landing, holds out a finger, divines
    red, black, hardback, glaucous, yellow spine torn, a gap:
          here, between books, he leaves the kittiwake beak
after dabbing it like a glass pipette at my cheek.
    Abacinate. Abscess. Abyss. Ab ovo. At Macondo, he reads
          people sent sponges, lambs’ wool, soil, books, anything
at all bibulous to save them. In the end, they shaved
     the little girls, bagged their hair to make a gluey boom,
          suck it up, the spoils. He starts to towel me down, tells me
that’s what happens to naughty children, guides my feet
    into my socks and the kittiwake beak, his grim memento,
          watches through nostrils, observes our wincing fractures.
My hair dries, keratin core still recording a damaged archive
    of  him, katabatic debris, red algae, bad blood cut
          in cross sections of arctic ice. But they didn’t
use any of it. They used their own ends to end the spill:
    propylene sacks sent to drink its own kin. Ad absurdum. Ad fin.
Ad creep. Adagio. Adam. I asked him what happened to all the hair,
          but he said that’s not the point of the story.",Art and Science
47,Wild Is the Wind,"About what’s past, Hold on when you can, I used to say,
And when you can’t, let go, as if memory were one of those
mechanical bulls, easily dismountable, should the ride
turn rough. I lived, in those days, at the forest’s edge —
metaphorically, so it can sometimes seem now, though
the forest was real, as my life beside it was. I spent
much of my time listening to the sounds of random, un-
knowable things dropping or being dropped from, variously,
a middling height or a great one until, by winter, it was
just the snow falling, each time like a new, unnecessary
taxonomy or syntax for how to parse what’s plain, snow
from which the occasional lost hunter would emerge
every few or so seasons, and — just once — a runaway child
whom I gave some money to and told no one about,

having promised ... You must keep what you’ve promised
very close to your heart, that way you’ll never forget
is what I’ve always been told. I’ve been told quite
a lot of things. They hover — some more unbidden than
others — in that part of the mind where mistakes and torn
wishes echo as in a room that’s been newly cathedraled,
so that the echo surprises, though lately it’s less the echo
itself that can still most surprise me about memory —
it’s more the time it takes, going away: a mouth opening
to say I love sex with you too it doesn’t mean I wanna stop
my life for it, for example; or just a voice, mouthless,
asking Since when does the indifference of the body’s
stance when we’re alone, unwatched, in late light, amount

to cruelty? For the metaphysical poets, the problem
with weeping for what’s been lost is that tears
wash out memory and, by extension, what we’d hoped
to remember. If I refuse, increasingly, to explain, isn’t
explanation, at the end of the day, what the sturdier
truths most resist? It’s been my experience that
tears are useless against all the rest of it that, if I
could, I’d forget. That I keep wanting to stay should
count at least for something. I’m not done with you yet.",Art and Science
48,Weaving Granite,"  Granite Weaving, 1988, by Jesús Moroles



“He” grates across the throat, the “h” a dry abrasion on the tongue —
Across the throat, the “h” in “she” is tucked behind the folded muscle.
In “she” is tucked the “e” the lips unpurse to say, same as saying “we.”
My lips unpurse to say the names of  God, of    Love, and they are “She.”
The names of   God, of   Love are, too, old explosions coded into granite.
Too, old explosions cooled to stone warm to the touch of  light, as she,
Stone-warmed and glowing, let my lips brush velvet shadows onto hers.
Let my lips brush the story soft, forget that “he” was scrape and struggle.
The story soft forgets that “he” was heavy, wrestled into “we,” and weaving
“He” heavy, wrestled (strands of  granite yarned like fabric) into “we,”
Strands of granite halt their dry abrasion, interlock, and become “She.”",Art and Science
49,Prophesy,"I’m playing with the devil’s cock
it’s like a crayon
it’s like a fat burnt crayon
I’m writing a poem with it
I’m writing that down
all that rattling heat in this room
I’m using that
I’m using that tingling rattle
that light in the middle of the room
it’s my host
I’ve always been afraid of you
scared you’re god and something else
I’m afraid when you’re yellow
tawny
white it’s okay. Transparent cool
you don’t look like home
my belly is homeless
flopping over the waist of my jeans like an omelette
there better be something about feeling fat
what there really is is a lack of emptiness
I’m aiming for that empty feeling
going to get some of that
and then I’ll be back",Art and Science
50,Radiante (s),"Radiante, 1967, by Olga Albizu

 
Jestered ochre yellow my umber Rothko
divisions my Brooklyns with Jerry Stern
black then oranged gold leaf & tiny skulls
perforations Dada sugar bread of Oaxacan
ecstasy Lorca’s green horse the daffodil head
corruptions of the State in tenor exhalation
saxophonics blossomings rouged monkey
Dalí roll down the keys the high G’s
underStreets of the undeRealms my hair.

Throttle up into hyper-city correlations =
compassion compassion
the void extends",Art and Science
51,Field of Moving Colors Layered,"Untitled, 1965, by Alberto Valdés



I’m not easily mesmerized.
But how can you not be drawn in by swirls,
angles and whorls brought together to obey
a field of moving colors layered, muted    ...
others bright that make you linger
there?
Just look at those Carpaccio reds.

Right then my mind
leaps to Cezanne:
his dark-blue vest in Self-Portrait (1879–1880);
the Seven Bathers (ca. 1900) wallowing in blue;
his blue beyond in Château Noir (1904).

Consider now the three, or is it four figures
in Alberto Valdés’s Untitled (ca. 1965).
They are wayward energy, moving right
to left (the right one more sensuous than the rest)
about to dive
into the deep-blue waiting — call it the unknown.
I’d like to be there when they meet that blue abyss
head on.
Will they keep their shape, I wonder,
or break up and rearrange themselves
into a brighter, more memorable pose
...    into a bigger elemental thing?

I’m really asking this:
When they run into the landscape of  blue,
will these figures lose their logic of  luster?
Will they lose their lucid argument of color,
their accumulated wealth of geometry?
Will they still engage the entire me,
hold me,
keep me mesmerized?",Art and Science
52,C,"metaphor waits at the
foot of his name

on thursday he’ll
cancel experience

metaphor waits for
him to shovel the snow

on thursday he’ll
crush experience",Art and Science
53,luam/asa-luam,"the afterworld sea

there was a water song that we sang
when we were going to fetch river from the river,
it was filled with water sounds
& pebbles. here, in the after-wind, with the other girls,
we trade words like special things.
one girl tells me “mai” was her sister’s name,
the word for “flower.” she has been saving
this one for a special trade. I understand
& am quiet awhile, respecting, then give
her my word “mai,” for “water,”
& another girl tells me “mai” is “mother”
in her language, & another says it meant,
to her, “what belongs to me,” then
“belonging,” suddenly, is a strange word,
or a way of  feeling, like “to be longing for,”
& you, brother, are the only one,
the only one I think of  to finish that thought,
                to be longing for
                mai brother, my brother
 ",Art and Science
54,Booranga Wire Songs,"For Anthony Lawrence
A large gray jumped, what I can only imagine is a dingo fence last night and made it at least 5 feet off the ground, under a full moon a million miles away, granite rocks and pine trees sealing a Cormac McCarthy evening. Wire song on cold wind musing low, tension wang and resonance, the land and ghosts play along and now and then a sheep bleets, but it hardly makes a bar onto these wire songs ...
  Small spinifex spin
down from a spirit circle;
the writers cottage ...
  (A pact made above the cottage by local artisans … winds rest for the time being ... )
  No ghosting to report on this tour but aplenty haunting of words, sentences prematurely entertained that have the capacity to poltergeist and a writer’s biting off; too much in a spell! To only want that wire song later to floss with, when civilized nights of too much consumer discount become morose, head aching to be left alone and everyone thinks you need to be alone when you only want to sing aloud and be heard in the ides of a full moon over pine trees and granite boulders, simple, wire song ...",Art and Science
55,Heisenberg Saying Goodbye to Mum at Lilyfield,"Every construction is temporary, including the fire altar.
— Roberto Calasso
Accommodate the action in your life
to wrest the deep perspective of the real
from cubic content realms of atmosphere
at play beyond the bank and shoal of time.

Then resonance begins, and all vibrates.
The syntax of position no more sculpts
this world of interpenetrative forms
than syntaxes of motion render grace.

Yet syntax is the caul on all our births;
and mothers claw the membrane from our eyes
to fret us into life, in losing theirs.
From there, each choice engraves a different choice.

The decades pass. One needle for one groove.
The canticles flare chaos from the spin.
The gyre to crackly zero stays the same.
(You’ve got to love the Hindus more than most.)

We saw grand sweeps of swells from tiny arcs.
We sliced the wave face, tumbling into light.
My mother hugged me good-bye at seventy-three,
knowing, just then, her strength may outlive mine.

Accommodate the action in your life,
she said, to aeronautical exhausts
of every plane and cab I ever caught
(my own arcs more elaborate than most).

Accommodate the action of your life,
she seemed to say: make past and future fuse.
I felt her fingers dig into my back:
That strength I had is yours. Things die. Not love.",Art and Science
56,My Darling Turns to Poetry at Night,"My darling turns to poetry at night.
What began as flirtation, an aside
Between abstract expression and first light

Now finds form as a silent, startled flight
Of commas on her face — a breath, a word ...
My darling turns to poetry at night.

When rain inspires the night birds to create
Rhyme and formal verse, stanzas can be made
Between abstract expression and first light.

Her heartbeat is a metaphor, a late
Bloom of red flowers that refuse to fade.
My darling turns to poetry at night.

I watch her turn. I do not sleep. I wait
For symbols, for a sign that fear has died
Between abstract expression and first light.

Her dreams have night vision, and in her sight
Our bodies leave ghostprints on the bed.
My darling turns to poetry at night
Between abstract expression and first light.",Art and Science
